,Filename,Text
0,Test105.jpg," 
"
1,Test107.jpg," 

lesbianvenom:
lesbicnvenoni:
straighten ers aren'tivorth ‘urmoney i've been tising one for three
weeks and i'm still definitely a lesbian:

inall my 20 years: of living this has béen by far my best joke'ever

 
"
2,Test100.jpg,"= Sesser ete ge
crm th RE

Ee aa ye

 
"
3,Test103.jpg," 
"
4,Test181.jpg," 
"
5,Test239.jpg," 

ilearned this the‘hard way...

 

“You either say how you feel and fuck
it-up‘orsay,nothing and let it fuck you
up instéad.”” ~

 

 

 

 

 
"
6,Test581.jpg,"rere giinae!
‘ener ma
erm to

28 dso orvpett, Uannty tee
Meret ns event Sere. ?
“Pitchers erate

 
"
7,Test113.jpg," 
"
8,Test105.jpg," 
"
9,Test757.jpg," 
"
10,Test2434.jpg," 

‘Noein Tae ang Saaearta FS CUA STATE
‘TAAT A WOMAN SHOULD 907 26 COVEN FRIED,
‘TWAT DOCS NOT MIAN THAT WOMEN ARE TOE
ACY AS SUVS, BIT THEY ARE UKE CHULDRE,:

STE DEMOUS WAVE NOW AECLECTEO Sec
PRIUACTIONS, AND TREY TRIAR THAT WOMEX'

 
"
11,Test835.jpg,"E

EES
"
12,Test234.jpg," 
"
13,Test1884.jpg,"  
    

5 yO
ludicrous. naive. fri
irrational, interesting, curiou:
eccentric, bogus. weak. foolish:
goofy. insipid. absurd, ridiculous.
- annoying, asinine. pathetc.

yesterday, surreal. waek(y):

 

 

 

 
"
14,Test3827.jpg," 
"
15,Test903.jpg," 
"
16,Test396.jpg," 
"
17,Test661.jpg," 
"
18,Test132.jpg," 
"
19,Test3985.jpg," 
"
20,Test2007.jpg,"  
   

SU unvived.

BRRE LORD.

  

 
"
21,Test2049.jpg," 
"
22,Test172.jpg," 

So you’ oppose ts,
because ‘of; ae Bible?

Uness: you ‘also’ try‘ to outlaw.
“2Sheiee' coded they. £19)

ididon .
please Shut: ithe’ hell al: \

 
"
23,Test179.jpg,"spina pet mer mania ng et brn
erland a ee tetra ine,

 

neh prt tng mht he phi aoe
; anerenn

 
"
24,Test941.jpg," 
"
25,Test114.jpg,
26,Test1071.jpg," 
"
27,Test3265.jpg," 
"
28,Test237.jpg," 
"
29,Test861.jpg," 
"
30,Test228.jpg," 
"
31,Test3706.jpg,"where you’
fis world or the 1 eth, love will; find:
- attend’) ‘0
eS

     

ac weet Sea Sead

END Star psn MS
"
32,Test3159.jpg,"* GAY CULTURE IS SURVIVING
‘AND THRIVING. SOME ~
ACTIVISTS BELIEVE THE
RECENT RISEN,
HOMOPHOBIC VIOLENCE
MIGHT BE A GAUGE OF THE
SUCCESS OF POSITIVE GAY.
TIMAGES,.. .
"
33,Test761.jpg,"ap

   

you're halfway

 

T..ROOSEVELT’
"
34,Test811.jpg,"    

 
 
   
    
 

aia
i i g
eins

  
"
35,Test353.jpg,"      

What daatralght?A
aacaabestreight,
"
36,Test929.jpg," 

Inspiring and, Positive: Quotes
<3
"
37,Test614.jpg,"    
  
   

| learned
compassion from
being ciscriminatec
against. everything
that’s ever
happened to
me has tauglvt
me compassion.

   

 

 

ELLEN DEGENERES

 

 
"
38,Test374.jpg," 
"
39,Test3118.jpg,
40,Test2616.jpg," 
"
41,Test2114.jpg," 
"
42,Test937.jpg,"    
     
   
 

  

you ares
' SLOVABLE
( SWORTHY
—SENOUGH |
‘= BRAVE. |
"
43,Test233.jpg," 
"
44,Test490.jpg,"ACCEPTANCE.
OF YOURSELF:

IS FAR MORE:
IMPORTANT

‘ACCEPTANCE.
‘FROM OTHERS,
"
45,Test942.jpg," 
"
46,Test422.jpg," 
"
47,Test201.jpg," 
"
48,Test165.jpg,"(ia swat Diss

eat

 
"
49,Test1776-min.jpg,"      

os aes siayate oh oe so
” \ apts eR lia MAM

 
     
"
50,Test243.jpg," 
"
51,Test122.jpg," 
"
52,Test1199.jpg,"Do‘you-realize whaft:you
say, When you say’

   
   

ly-""gay” isu: lays has.a:
negative connotation. Which it should nott

OU Gl\\r""

miéans brightly colored, happy andor homosexual.

Ll©t' .

‘ANWovING! STUPID. FOOLISH. PATHETICs,
. LUDICROUS. IRRATIONAL.cURIOUS.
“ WACHYSSURREAL. ECCEMTRIC.” ~
‘WEAK, BOGUS, RIDICULOUS,
| FRIVOLOUS. CHILDISH.”—
ABSURD.AWHWARD. ”
OR).
FREAKY:

‘CROOSE A WORD WHICH MEANS;
WHAT YOU MEAN TO SAV.: —

)AT'S ONLY THE: SMART THING TO DO.:

  
"
53,Test191.jpg," 

 

ged @
setae

Aguas 2

iEveryone: add:my new:
‘Siapchat bey or comment
names below:,|'I be posting
‘positive quotes'every:'day ©
Igbtpride loveislove.Igbt trans
transmatter transgender.
transgirl transmale lesbian
lesbiansex gaypride gay bi
bisexualpride ‘bisexual bipride;
‘aseXtial’asextialptide:
Pansexualpride pansexual,
‘protecttranskids pride swag ftm:
tf
"
54,Test3798.jpg," 
"
55,Test192.jpg," 
"
56,Test1767.jpg," 
"
57,Test833.jpg,"ie
os

HATE &
Tv was icausepa Lor ;/
OF PROBE: us IN ais
WORED, BUT.IS HAS -
NOT SOLVED ONE YET.
-Mava Ancrrou

  

 
"
58,Test644.jpg,": WEORONOR
SECIS UPD |

 

 GOHSOHORG OOETA
"
59,Test133.jpg," 
"
60,Test527.jpg,"Gay pride‘or LGBT pride is the positive stance against
iminiation:and violence toward. lesbian, gay,
ibisextral,; ‘and transgender | LGBT) people to promote
zit eae equal rights; increase
‘and

 
    
 

 

 
"
61,Test3177.jpg," 
"
62,Test912.jpg," 
"
63,Test3024.jpg," 
"
64,Test789.jpg," 
"
65,Test108.jpg," 

tased on ov wan the eutcome of toe perception ‘wed atzades of the aadence lowed it. The!
‘aafoctiy beNeved hat ponioyal tie LET comineniny be tatiana ves was imoatly begat,
‘ANE he earner nba pent prin. vem thn the nega pests
shthe LOBT themes fs faim coma wm poised cs, improvemees at have bees tie>
jeere cham lod pod...

 

   

Following li the evideace off quotes of the partiparts for cach theene Sbich (s the sexier of the |
Srcsla, “

 

Accurate portrayal ln peaerat }
""Genersliy Hien say they the porwol te goat.""

""See meme LGBT menes are ini wind imme ore ast ao (ply) wine fr Ning us for.
Crsertcnment. Bathe ones ake with etealtectae feet?

 

 

  
 

‘LGBT theme on olia have some anbstonce in Ben are very es.andd ever thew gh they oe:
ext =u they are pant"" . oe
‘The curves cee vefers 16 the acevo porrayal of te LOBT coniminity ta imnicc Some?

Vricperts mated fa flrs Of movies to mal te’ etal dein of de LOBT Life was:
png td tecaos ite were hnyoving be both content uo poriayal|

 

 

 

“in this Kanmols fm set be bling Hat woman, ind snatdenly she bics that guy. B's hd heme
“Cam ahd ds tha? Whew jow'e kvtag be: thie oaher girl al afd stem she ged any ont
_nablenty ow Te Ae wie som you 7 fie Bt ge Hg tat evn pase?

as
"
66,Test250.jpg," 

 WWW.CDROS.NET
"
67,Test779.jpg,"“Weare legalill

    

Inall fifty states!!!
"
68,Test3246.jpg,
69,Test624.jpg," 
"
70,Test144.jpg," 
"
71,Test154.jpg," 

Toe Say Maing LGRT 1a. Hegatve
Fehorin thee Lite,

aap se wrt ue rey
Shermer:

  
"
72,Test1837.jpg," 
"
73,Test1240.jpg," 
"
74,Test198.jpg,".Anti:LGBT: States that have laws restricting teachers'and staff from
‘talking about LGBT issteés'at'school ""

 

Misslssippl |

/ OMahoma |
‘South Cérotina
“Texas”

‘Utah

 
"
75,Test3512.jpg," 
"
76,Test400.jpg," 
"
77,Test236.jpg,
78,Test1644.jpg,"wane topics, and talk:
about it more ead of

,
‘then dismiss the subject.”

_, _ BLAINA:
in'What Do You Know?""
‘Six.to Twelve-Year Olds Talk:
: About LGBTQ Topics.
1 (A Welcoming Schools Film)’

 
"
79,Test1856-min.jpg,"> ‘ fur ae
reatnot ""
aN ee

 
"
80,Test242.jpg,"  
 

ou ether say bow you fel and fuck
ip or say nothing and let it feck you
epinstesd.*”
"
81,Test173.jpg," 
"
82,Test1290.jpg," 
"
83,Test232.jpg," 
"
84,Test206.jpg,"‘Google [ex vanes spit nonosenany
‘Dale verses egeina! homosexuality,
bble verses agains! abortion’: =
‘bbls verses against gay mariage
Dole veres agains! tatoos

 
"
85,Test140.jpg," 
"
86,Test1229.jpg," 
     
 
 

 

otsiliemamay

TMA ae SOE

Gueltiestnstmen SUN ATED ESE.

    
    

ceReMNanmeM (GOODING
pererey

 
"
87,Test161.jpg," 
"
88,Test545.jpg," 
"
89,Test2870.jpg," 
"
90,Test3789.jpg," 
"
91,Test213.jpg," 
"
92,Test397.jpg," 

and passive.;

‘Caught shadowboxing;

“my, ‘subconscious, Twas!
‘determined to dodge the danger of:
<my,natural desires,
"
93,Test152.jpg," 
"
94,Test117.jpg," 
"
95,Test3864.jpg,"ey

(ICSI

impr

 
"
96,Test134.jpg," 
"
97,Test884.jpg,"“Believe
you can.

youl re hall

 
"
98,Test225.jpg," 
"
99,Test2309.jpg," 
"
100,Test143.jpg," 
"
101,Test238-min.jpg," 
"
102,Test668.jpg," 
 
  

  
    
   
   
     

the UN iS anything) SY
but neutral,

+ CHARLES: RADCLIF FE
JUN FREE & EQUAL,
@chartes- “rad. / ‘Gree. equat-

=

<. FREER TOUN:

 

‘(URizen xAviosy: -
AOUNUATION:

     
"
103,Test859.jpg,"Kbaadon the cultural
emyth ther all female,
tclandahips mutt be

bitchy, toric or.
competitive. Thi

 
"
104,Test3975.jpg," 
"
105,Test1992.jpg," 
"
106,Test993.jpg," 
"
107,Test180-min.jpg," 
"
108,Test533.jpg,"‘Coughl ehadowboxing:

yy subsonsciout, wat:
eterealoed vo dodge he danger of
ay nateral dentres, ” °
"
109,Test151.jpg," 
"
110,Test240.jpg," 
"
111,Test1724.jpg,"  
   
 

i in frei
ute ey yy;

Hd tie ales

     
"
112,Test183.jpg," 
"
113,Test2371.jpg,"‘When’ people’ ask:
what I sée in you,
‘I just smilé'and.
Took away. because’
'm afraid if they: knew,:
~~ they'd fall in Jove” ™~
“with you too. :

 

  

 

 
"
114,Test209.jpg," 
"
115,Test1279.jpg," 
"
116,Test372.jpg,"GAY. CULTURE IS. SURVIVING:
‘(AND THRIVING. SOME’
ACTIVISTS BELIEVE THE
RECENT RISE IN

SUCCESS OF POSITIVE GAY:
IMAGES.

tater Loup

Quote inal eon ?
"
117,Test946.jpg,"‘“Lamimol free

 
 

whileanywomaii,
is unfree; even
whien her shackles

are very different

  

from

L.

ny On.”

4

AUDRE:LORDE;

@)
"
118,Test1818.jpg," 

mopman tice Hoel vecsse
Thevhe pushing ina to dd Howard Howards
2 Ob My Stand oxic pet weatch thay
{eias tors Gomrecicyonul ne Ba

 
"
119,Test1902.jpg," 
"
120,Test449.jpg," 

 

“Won eames.”
J iseadgeso!
LGBT poorte,
_t the UN Is anything ‘.
but neutral!

prac

16

    
       
   
       
 

ay
ra
"
121,Test482.jpg,"We are legal!!!

Rn tation eke een tad
ane
Rafa tatavtalnsbabntatentady
SeknSatebakaset Str |
erates |
Sees i

 
  

 
  
 
 

   
 

  

  
 
   

 

In all fifty states!!!

FECAL EGR
"
122,Test1788.jpg," 
"
123,Test2068.jpg," 
"
124,Test3863.jpg," 
"
125,Test136.jpg," 
"
126,Test107.jpg," 

lesbianvenom:
lesbicnvenoni:
straighten ers aren'tivorth ‘urmoney i've been tising one for three
weeks and i'm still definitely a lesbian:

inall my 20 years: of living this has béen by far my best joke'ever

 
"
127,Test715.jpg,"Caycuiimnets
SRRTAING) CHD

 
"
